name,task,channel,avg,slope,variance,skewness,kurtosis,max,min,sum
name_1,A,1,0.000763219,9.24687E-06,1.05047E-06,-0.633927639,2.021390857,0.001969547,-0.001380034,0.194620946
name_1,A,2,0.004604797,4.03606E-05,1.2942E-05,-0.980449896,2.771342117,0.008025268,-0.003538704,1.174223285
name_1,A,3,0.004540409,3.4047E-05,1.03537E-05,-1.249565486,3.091710161,0.00711911,-0.002936044,1.157804401
name_1,A,4,0.001389172,1.14812E-05,1.28531E-06,-0.254664665,1.557922707,0.002912233,-0.0005466,0.354238829
name_1,A,5,0.001002106,1.82667E-05,2.43142E-06,-0.392686412,2.102291566,0.003066516,-0.002185109,0.255536976
name_1,A,6,0.000363756,4.97325E-06,2.17392E-07,-0.216743566,1.661956592,0.001001183,-0.000453966,0.092757796
name_1,A,7,-0.001154069,5.85735E-06,8.44094E-07,-0.050633252,2.674460735,0.001805834,-0.002893083,-0.294287561
name_1,A,8,0.000349981,7.72761E-06,4.7892E-07,-0.741639561,2.716841648,0.001245493,-0.001230792,0.089245077
name_1,A,9,0.000183908,5.60567E-06,3.21747E-07,-0.582854522,2.183820502,0.000821936,-0.001025807,0.046896422
name_1,A,10,-0.002298261,-4.1764E-06,1.21569E-06,1.203903188,4.811195147,0.002157364,-0.003767355,-0.58605652
name_1,A,11,0.000507291,9.37715E-06,1.11621E-06,-0.686295161,2.615532798,0.001848105,-0.001920538,0.129359272
name_1,A,12,0.00025908,4.57806E-06,5.44387E-07,-0.349417117,1.67928162,0.00127088,-0.001054291,0.066065503
name_1,A,13,0.000177119,-2.07328E-06,1.2206E-06,1.034785019,3.28192793,0.002828053,-0.001482977,0.045165264
name_1,A,14,0.001091143,5.23723E-06,1.02016E-06,-0.119592468,1.708333552,0.002601386,-0.000645622,0.278241586
name_1,A,15,-0.000310659,1.58387E-06,2.90163E-07,-0.475286782,3.199832667,0.001101341,-0.00159968,-0.079217985
name_1,B,1,-0.00046583,2.04587E-06,2.88882E-07,0.05412476,2.317415529,0.000567614,-0.001440573,-0.118786524
name_1,B,2,0.000179362,1.08339E-05,2.26681E-06,0.243450758,2.25655743,0.003079655,-0.002293111,0.045737207
name_1,B,3,-0.000783414,-5.68996E-07,4.78778E-07,-0.20954409,1.844263726,0.00021958,-0.001984762,-0.199770443
name_1,B,4,-0.00038839,4.19521E-06,6.55466E-07,-0.062002123,1.732793068,0.000982843,-0.001536312,-0.099039535
name_1,B,5,0.000499326,9.47488E-06,7.42923E-07,-0.062718851,1.25504388,0.001541522,-0.000743803,0.127328079
name_1,B,6,-0.000430002,-1.10438E-06,6.35882E-08,0.021077027,1.948571668,1.02956E-05,-0.000859549,-0.109650531
name_1,B,7,-0.000343688,3.92915E-06,3.78291E-07,-0.366843351,1.92464194,0.000613531,-0.001432309,-0.087640365
name_1,B,8,0.001094929,8.51601E-06,4.4947E-07,-0.071749075,1.482263212,0.001998495,-3.60518E-05,0.279206841
name_1,B,9,8.88154E-05,1.54512E-06,7.02615E-08,-0.408899448,2.504207293,0.000527419,-0.000446238,0.022647915
name_1,B,10,-0.00057558,3.35675E-06,3.96874E-07,-0.183029226,1.728934445,0.000425698,-0.001662693,-0.146772886
name_1,B,11,0.000439887,2.67926E-06,1.58822E-07,-0.473753889,1.995831821,0.001005896,-0.00034069,0.11217109
name_1,B,12,-0.000326082,2.11141E-07,1.95053E-07,-0.088118744,2.388309096,0.000498274,-0.001158177,-0.083151015
name_1,B,13,-0.000955983,1.39816E-07,4.27414E-07,0.061634501,1.767633708,0.000131201,-0.001935573,-0.243775784
name_1,B,14,-0.000118261,6.41922E-07,2.15759E-07,-0.161101016,2.623830101,0.000741912,-0.001039571,-0.030156476
name_1,B,15,-0.001204764,-5.14419E-06,2.59071E-07,0.904535249,3.078888832,0.00023821,-0.001824164,-0.307214708
name_1,C,1,-0.00046583,2.04587E-06,2.88882E-07,0.05412476,2.317415529,0.000567614,-0.001440573,-0.118786524
name_1,C,2,0.000179362,1.08339E-05,2.26681E-06,0.243450758,2.25655743,0.003079655,-0.002293111,0.045737207
name_1,C,3,-0.000783414,-5.68996E-07,4.78778E-07,-0.20954409,1.844263726,0.00021958,-0.001984762,-0.199770443
name_1,C,4,-0.00038839,4.19521E-06,6.55466E-07,-0.062002123,1.732793068,0.000982843,-0.001536312,-0.099039535
name_1,C,5,0.000499326,9.47488E-06,7.42923E-07,-0.062718851,1.25504388,0.001541522,-0.000743803,0.127328079
name_1,C,6,-0.000430002,-1.10438E-06,6.35882E-08,0.021077027,1.948571668,1.02956E-05,-0.000859549,-0.109650531
name_1,C,7,-0.000343688,3.92915E-06,3.78291E-07,-0.366843351,1.92464194,0.000613531,-0.001432309,-0.087640365
name_1,C,8,0.001094929,8.51601E-06,4.4947E-07,-0.071749075,1.482263212,0.001998495,-3.60518E-05,0.279206841
name_1,C,9,8.88154E-05,1.54512E-06,7.02615E-08,-0.408899448,2.504207293,0.000527419,-0.000446238,0.022647915
name_1,C,10,-0.00057558,3.35675E-06,3.96874E-07,-0.183029226,1.728934445,0.000425698,-0.001662693,-0.146772886
name_1,C,11,0.000439887,2.67926E-06,1.58822E-07,-0.473753889,1.995831821,0.001005896,-0.00034069,0.11217109
name_1,C,12,-0.000326082,2.11141E-07,1.95053E-07,-0.088118744,2.388309096,0.000498274,-0.001158177,-0.083151015
name_1,C,13,-0.000955983,1.39816E-07,4.27414E-07,0.061634501,1.767633708,0.000131201,-0.001935573,-0.243775784
name_1,C,14,-0.000118261,6.41922E-07,2.15759E-07,-0.161101016,2.623830101,0.000741912,-0.001039571,-0.030156476
name_1,C,15,-0.001204764,-5.14419E-06,2.59071E-07,0.904535249,3.078888832,0.00023821,-0.001824164,-0.307214708
name_2,A,1,0.000430448,-1.28999E-07,7.26822E-08,-0.38967859,1.808499247,0.000786166,-0.000110175,0.109764273
name_2,A,2,4.60931E-05,9.91185E-07,1.81012E-08,0.395929015,2.254770846,0.000311552,-0.000272446,0.011753732
name_2,A,3,0.000101131,4.51552E-06,1.6046E-07,-0.334068494,1.884734154,0.000635198,-0.00064302,0.025788299
name_2,A,4,0.000383603,2.74406E-06,6.81823E-08,0.117853521,1.642206356,0.000829525,-0.000115003,0.097818847
name_2,A,5,-0.000235849,2.17249E-06,6.4047E-08,-0.818924214,2.570332559,0.00014676,-0.000774659,-0.060141484
name_2,A,6,-4.26527E-05,1.62832E-06,6.0053E-08,-0.5137064,2.236242233,0.000322511,-0.000529573,-0.010876446
name_2,A,7,0.000212156,2.55181E-06,7.58507E-08,-0.075082535,1.575281447,0.000647764,-0.000222042,0.054099693
name_2,A,8,2.11207E-05,6.465E-07,1.13372E-08,-0.288897596,2.075220743,0.000193611,-0.000186039,0.005385777
name_2,A,9,0.000134068,3.04672E-06,8.02355E-08,-0.452049984,1.912745482,0.00053807,-0.000379125,0.034187306
name_2,A,10,-0.000176164,1.62006E-06,4.04526E-08,-0.19544754,1.702959259,0.000111595,-0.0005099,-0.0449218
name_2,A,11,-0.000106475,1.20399E-06,2.32727E-08,-0.879543743,2.418137563,7.65974E-05,-0.000421851,-0.027150998
name_2,A,12,7.09301E-05,2.0385E-06,3.88283E-08,-0.210322054,1.941459513,0.000396446,-0.000262884,0.018087172
name_2,A,13,-0.000103143,-2.84342E-07,1.76981E-08,-0.636430123,2.48164585,9.58687E-05,-0.000460223,-0.026301439
name_2,A,14,-0.000313676,-1.63514E-06,4.84309E-08,-0.517713342,2.399731246,9.52921E-05,-0.000799298,-0.079987427
name_2,A,15,-0.0001338,-1.12672E-06,1.93975E-08,-0.917233786,2.379735023,3.19829E-05,-0.000429205,-0.034119094
name_2,C,1,-0.001114295,-8.03605E-06,4.21009E-07,0.621427605,1.666552177,9.41981E-05,-0.001904394,-0.284145291
name_2,C,2,-0.000184264,-3.64125E-06,1.00256E-06,-0.166706875,2.734437821,0.001681832,-0.002168898,-0.046987412
name_2,C,3,0.001593029,6.59318E-06,3.60464E-06,-0.730613591,2.184421514,0.004068229,-0.002271941,0.406222429
name_2,C,4,-1.04977E-05,-2.85811E-06,3.00077E-07,0.329876474,2.842485856,0.001131461,-0.00100307,-0.002676925
name_2,C,5,0.000615411,1.61067E-06,4.087E-07,-0.491566091,2.182160527,0.001633324,-0.000655602,0.156929913
name_2,C,6,0.000539887,1.62302E-06,2.50364E-07,-0.394049184,1.917602389,0.00131845,-0.00039779,0.137671224
name_2,C,7,-0.000221572,-4.38095E-06,4.93102E-07,0.308897453,2.613077489,0.001185301,-0.001467119,-0.056500878
name_2,C,8,-0.000714979,-4.36899E-06,2.32507E-07,0.206827028,1.865416754,0.00029849,-0.001492442,-0.182319771
name_2,C,9,3.11434E-05,-3.73273E-07,1.05393E-07,0.17415349,2.633180128,0.000694406,-0.000569541,0.007941559
name_2,C,10,-0.0004421,-5.89578E-06,6.63669E-07,0.429614488,2.423330089,0.001163018,-0.001783512,-0.112735541
name_2,C,11,0.000186761,-1.70281E-06,1.78646E-07,0.218347703,2.350413376,0.001006217,-0.000558944,0.047624118
name_2,C,12,0.000638479,3.30334E-07,2.96148E-07,0.137342644,2.153397797,0.001687255,-0.000260722,0.162812228
name_2,C,13,0.00030377,-3.01015E-06,3.77545E-07,0.415355558,2.470365618,0.001543355,-0.000716019,0.077461406
name_2,C,14,-0.000239451,-5.88314E-06,3.448E-07,0.431191832,2.100622039,0.000903282,-0.00105443,-0.061060058
name_2,C,15,-0.000901896,-8.88731E-06,5.36319E-07,-0.047114795,1.91781247,0.00035183,-0.002164948,-0.229983475
name_2,B,1,-0.002990487,5.62323E-07,3.10837E-06,-0.49940595,2.671408946,0.00021058,-0.006732209,-0.762574185
name_2,B,2,-0.001100613,-3.70042E-06,3.99927E-07,0.030117506,1.945188103,4.31957E-05,-0.002082772,-0.280656207
name_2,B,3,4.53144E-05,7.08841E-06,6.47089E-07,-0.774111461,2.389865854,0.001072704,-0.00161836,0.011555163
name_2,B,4,-0.000557339,-2.31195E-07,8.82879E-08,-0.212730153,2.443545414,1.93108E-05,-0.001116491,-0.142121402
name_2,B,5,-0.000317348,2.41195E-06,1.91156E-07,-0.783440144,2.437009165,0.000242008,-0.001232425,-0.080923735
name_2,B,6,-0.000587316,-1.96953E-07,1.04787E-07,-0.075566705,2.21740903,9.94311E-05,-0.001175137,-0.149765544
name_2,B,7,-0.000642668,-1.3336E-06,4.66022E-08,1.876639467,6.942732587,0.000200196,-0.00091405,-0.16388046
name_2,B,8,-0.001938539,-1.05752E-05,7.58702E-07,1.141045083,3.113242413,1.72137E-05,-0.003029528,-0.494327538
name_2,B,9,-0.000963226,-3.25674E-06,1.55075E-07,1.352165522,3.790574336,4.67113E-05,-0.001430376,-0.245622554
name_2,B,10,-0.00084963,-3.86695E-06,1.46316E-07,0.187548613,3.400539554,0.000263387,-0.001539648,-0.216655664
name_2,B,11,-0.000629422,-1.96932E-06,6.80674E-08,0.891119147,3.470422085,6.46029E-05,-0.001042646,-0.160502666
name_2,B,12,-0.000695295,-6.47976E-07,8.87042E-08,0.587696206,3.115157044,0.000135306,-0.00114926,-0.17730022
name_2,B,13,-0.000953734,-3.07117E-06,1.15331E-07,1.258927878,5.835908257,0.000224691,-0.001584294,-0.243202188
name_2,B,14,-0.000912338,-6.5612E-06,2.63413E-07,-0.226501073,2.713026339,3.12842E-05,-0.00191692,-0.232646264
name_2,B,15,-0.002459621,-1.50554E-05,1.38956E-06,0.840333305,2.617846369,0.000134471,-0.004121206,-0.627203249
name_3,B,1,-0.004013666,9.73193E-06,5.26256E-06,-0.258240668,2.373756174,0.000900174,-0.00854538,-1.023484742
name_3,B,2,-0.001230996,1.8065E-05,4.28226E-06,-0.623943537,2.616957655,0.00228268,-0.005708215,-0.313903951
name_3,B,3,-0.004041593,-9.99617E-06,2.2633E-06,1.390888453,4.506237522,0.000777221,-0.005861883,-1.030606279
name_3,B,4,-0.003325526,-1.04244E-05,1.35049E-06,1.717846776,5.387626904,0.000514,-0.004382172,-0.848009015
name_3,B,5,1.7501E-05,1.32246E-05,1.35225E-06,-0.010582261,2.288988587,0.002321541,-0.002073188,0.004462756
name_3,B,6,-0.000929836,5.38315E-06,5.79532E-07,-0.416282963,2.485325898,0.000471008,-0.002499575,-0.237108063
name_3,B,7,-0.001539529,6.64796E-06,1.10966E-06,-0.15038575,2.485178145,0.000852744,-0.003626457,-0.392579809
name_3,B,8,-0.000817616,9.15283E-07,1.45737E-07,0.034926885,3.377569183,0.000185077,-0.001599869,-0.208492119
name_3,B,9,-0.001224941,1.62336E-06,3.6895E-07,0.067314704,2.650978923,0.00018077,-0.00238354,-0.312359911
name_3,B,10,-0.002139046,-1.44757E-06,6.7082E-07,1.026311915,4.542690878,0.000583295,-0.003437133,-0.545456789
name_3,B,11,-0.000334372,1.15466E-05,1.22072E-06,-0.26087815,2.526058676,0.001851356,-0.002492189,-0.085264895
name_3,B,12,-0.003509536,-1.19501E-05,1.81387E-06,1.294282197,3.912670187,0.000399074,-0.005051476,-0.894931698
name_3,B,13,-0.002806849,-4.62868E-06,9.38933E-07,1.649615476,6.030080885,0.000676653,-0.004024795,-0.715746578
name_3,B,14,-0.002081899,-1.18297E-07,6.58354E-07,0.882294248,4.549235894,0.00071217,-0.003362803,-0.530884261
name_3,B,15,-0.006438098,-2.87671E-05,6.23199E-06,1.422723529,4.094544972,0.000185245,-0.008769739,-1.641714928
name_3,A,1,0.001456894,2.40652E-05,8.6057E-06,0.74152514,2.158418049,0.008578089,-0.001970473,0.371508011
name_3,A,2,0.001760093,2.03711E-05,6.12598E-06,0.725402761,2.102930661,0.006728511,-0.001284195,0.448823839
name_3,A,3,-0.000427309,-3.12845E-06,1.7368E-06,-0.27528562,1.756599899,0.001709588,-0.002606309,-0.10896375
name_3,A,4,-0.000228397,-6.19189E-06,1.02461E-06,0.119691894,1.744371994,0.001488314,-0.001721695,-0.058241278
