name,task,channel,avg,slope,variance,skewness,kurtosis,max,min,sum
name_2,A,8,0.00053651,1.10E-06,3.07E-07,0.145211558,1.692759782,0.001545202,-0.000309269,0.272547146
name_2,A,9,5.10E-05,-1.43E-06,2.44E-07,0.449981849,2.308333222,0.001109883,-0.000732818,0.025911358
name_2,A,10,0.000322099,2.06E-06,3.88E-07,0.139537175,1.948372222,0.00136193,-0.000782841,0.163626356
name_2,A,11,0.000314251,6.71E-07,1.72E-07,-0.002297332,1.643528737,0.000934236,-0.000349519,0.159639444
name_2,A,12,0.000147141,2.59E-07,1.74E-07,-0.159417849,1.537912136,0.000756694,-0.000519636,0.074747657
name_2,A,13,0.000681018,1.57E-06,3.91E-07,-0.061765914,1.807534915,0.001649586,-0.000411309,0.345957248
name_2,A,14,0.000423624,4.31E-07,5.33E-08,-0.98461514,3.290780937,0.000754142,-0.000171627,0.215201222
name_2,A,15,1.75E-05,-9.29E-07,8.08E-08,0.401393916,2.523291582,0.000657505,-0.000488315,0.008893843
name_2,C,1,-0.001774606,-3.26E-06,9.95E-07,0.727463783,2.867975073,0.00037777,-0.003627447,-0.901499742
name_2,C,2,0.000380657,1.99E-06,1.39E-07,0.440935638,2.401769096,0.001159404,-0.000267284,0.193373636
name_2,C,3,0.000437778,1.77E-06,2.39E-07,-0.342408276,2.433533535,0.001213682,-0.000691926,0.222391232
name_2,C,4,0.001060243,3.21E-06,2.98E-07,-0.524989958,2.062876722,0.00183142,-7.95E-05,0.538603307
name_2,C,5,0.001416108,2.64E-06,3.14E-07,-0.687056748,2.692834572,0.002126269,-0.000309241,0.719382799
name_2,C,6,0.001137177,2.21E-06,2.14E-07,-0.634652403,2.656995038,0.001762644,-0.000307403,0.577685918
name_2,C,7,0.001194014,3.17E-06,3.47E-07,-0.506404448,2.221177724,0.002042017,-0.000127968,0.606559033
name_2,C,8,0.000558353,2.21E-06,2.00E-07,0.469938086,2.534292504,0.001607943,-0.000196312,0.283643236
name_2,C,9,0.000539104,1.85E-06,1.45E-07,-0.092262023,1.935569515,0.001166258,-0.000200757,0.273864923
