name,task,channel,avg,slope,variance,skewness,kurtosis,max,min,sum
name_1,A,1,0.003011255,3.44053E-05,7.2298E-06,0.376441701,1.446147036,0.007300766,-0.00021165,0.761847587
name_1,A,2,0.001081723,1.92576E-05,4.74864E-06,1.018656662,3.126217184,0.006009953,-0.001783591,0.273675977
name_1,A,3,-0.00124278,-3.50335E-06,7.41006E-07,0.057859972,1.570104122,7.93985E-05,-0.00246543,-0.314423449
name_1,A,4,-0.000134631,2.52887E-06,1.07767E-06,-0.082355649,1.396640868,0.00123905,-0.001517865,-0.034061752
name_1,A,5,-0.000209759,-6.3135E-07,4.95855E-07,-0.010359059,2.793863099,0.001275011,-0.001604146,-0.053069054
name_1,A,6,-0.000376777,-7.89496E-07,1.48374E-07,0.113123149,1.42530651,0.000201811,-0.000918476,-0.095324569
name_1,A,7,-1.01047E-05,-6.96139E-09,8.50301E-07,-0.213381482,1.774876618,0.001231556,-0.001604766,-0.00255648
name_1,A,8,-1.44952E-05,5.91951E-07,1.49876E-07,0.079411339,2.214054054,0.000720306,-0.000704691,-0.003667288
name_1,A,9,-0.000310955,-2.10554E-06,1.17487E-07,0.13430971,1.455589209,0.000191077,-0.000814034,-0.078671738
name_1,A,10,0.000769511,-1.8706E-06,4.84272E-07,0.499284144,2.536492788,0.002210867,-0.000645829,0.194686229
name_1,A,11,-0.000372873,-3.75628E-06,3.55744E-07,-0.06935473,1.693118571,0.000547383,-0.001395426,-0.094336919
name_1,A,12,-0.000590158,-1.60381E-06,4.57384E-07,-0.206655831,1.41094444,0.000267072,-0.001572781,-0.149309988
name_1,A,13,-0.000800115,-7.59668E-06,1.08599E-06,0.515908035,2.197923537,0.00120659,-0.002231062,-0.202429091
name_1,A,14,-4.91914E-05,5.93933E-06,7.78769E-07,0.275468582,2.090265938,0.001535968,-0.001358739,-0.012445434
name_1,A,15,0.001742005,2.47523E-05,4.13932E-06,0.423292272,1.415226239,0.004877865,-0.000538182,0.440727283
name_1,B,1,-0.000215,-9.23411E-06,1.83398E-06,1.026971774,3.122825228,0.002949196,-0.001965,-0.054395066
